Average Life Expectancy,Race,Sex,Year
28.755765,Black,Male,1902
29.713704,Black,Male,1903
30.652245,Black,Male,1904
31.571521,Black,Male,1905
32.471924,Black,Male,1906
33.353556,Black,Male,1907
34.216603,Black,Male,1908
35.061561,Black,Male,1909
35.888577,Black,Male,1910
36.697846,Black,Male,1911
37.489623,Black,Male,1912
38.264224,Black,Male,1913
39.021785,Black,Male,1914
39.762674,Black,Male,1915
40.487139,Black,Male,1916
41.195311,Black,Male,1917
41.887566,Black,Male,1918
42.564008,Black,Male,1919
43.225044,Black,Male,1920
43.870799,Black,Male,1921
44.501589,Black,Male,1922
45.117644,Black,Male,1923
45.719293,Black,Male,1924
46.306569,Black,Male,1925
46.87995,Black,Male,1926
47.439632,Black,Male,1927
47.985717,Black,Male,1928
48.518669,Black,Male,1929
49.038543,Black,Male,1930
49.545722,Black,Male,1931
50.040522,Black,Male,1932
50.522923,Black,Male,1933
50.993397,Black,Male,1934
51.452222,Black,Male,1935
51.899306,Black,Male,1936
52.335379,Black,Male,1937
52.760427,Black,Male,1938
53.174713,Black,Male,1939
53.578511,Black,Male,1940
53.972068,Black,Male,1941
54.355537,Black,Male,1942
54.72951,Black,Male,1943
55.093827,Black,Male,1944
55.448898,Black,Male,1945
55.795024,Black,Male,1946
56.132385,Black,Male,1947
56.461267,Black,Male,1948
56.781912,Black,Male,1949
57.094532,Black,Male,1950
57.399516,Black,Male,1951
57.696832,Black,Male,1952
57.98705,Black,Male,1953
58.270299,Black,Male,1954
58.546767,Black,Male,1955
58.81674,Black,Male,1956
59.080511,Black,Male,1957
59.338245,Black,Male,1958
59.590216,Black,Male,1959
59.836816,Black,Male,1960
60.078163,Black,Male,1961
60.314319,Black,Male,1962
60.545939,Black,Male,1963
60.773017,Black,Male,1964
60.995866,Black,Male,1965
61.214799,Black,Male,1966
61.429943,Black,Male,1967
61.641679,Black,Male,1968
61.850024,Black,Male,1969
62.055587,Black,Male,1970
62.258287,Black,Male,1971
62.45853,Black,Male,1972
62.656548,Black,Male,1973
62.852618,Black,Male,1974
63.046897,Black,Male,1975
63.239814,Black,Male,1976
63.431355,Black,Male,1977
63.622021,Black,Male,1978
63.811945,Black,Male,1979
64.001379,Black,Male,1980
64.190601,Black,Male,1981
64.379869,Black,Male,1982
64.569373,Black,Male,1983
64.759437,Black,Male,1984
64.950239,Black,Male,1985
65.142077,Black,Male,1986
65.33521,Black,Male,1987
65.529913,Black,Male,1988
65.72636,Black,Male,1989
65.924782,Black,Male,1990
66.125533,Black,Male,1991
66.328937,Black,Male,1992
66.534984,Black,Male,1993
66.744101,Black,Male,1994
66.956413,Black,Male,1995
67.1724,Black,Male,1996
67.39211,Black,Male,1997
67.615884,Black,Male,1998
67.843857,Black,Male,1999
68.076513,Black,Male,2000
68.313891,Black,Male,2001
68.556159,Black,Male,2002
68.803934,Black,Male,2003
69.057153,Black,Male,2004
69.316097,Black,Male,2005
69.58116,Black,Male,2006
69.852553,Black,Male,2007
70.1304,Black,Male,2008
70.415042,Black,Male,2009
70.70673,Black,Male,2010
71.005751,Black,Male,2011
71.312312,Black,Male,2012
71.626571,Black,Male,2013
48.624331,White,Female,1900
49.159676,White,Female,1901
49.691743,White,Female,1902
50.220354,White,Female,1903
50.745576,White,Female,1904
51.267263,White,Female,1905
51.785573,White,Female,1906
52.300241,White,Female,1907
52.811495,White,Female,1908
53.31909,White,Female,1909
53.823122,White,Female,1910
54.323493,White,Female,1911
54.82015,White,Female,1912
55.313203,White,Female,1913
55.802385,White,Female,1914
56.287897,White,Female,1915
56.76954,White,Female,1916
57.247445,White,Female,1917
57.721438,White,Female,1918
58.191493,White,Female,1919
58.657654,White,Female,1920
59.11985,White,Female,1921
59.578049,White,Female,1922
60.032303,White,Female,1923
60.482429,White,Female,1924
60.928478,White,Female,1925
61.370347,White,Female,1926
61.808191,White,Female,1927
62.241827,White,Female,1928
62.671213,White,Female,1929
63.096368,White,Female,1930
63.517301,White,Female,1931
63.933912,White,Female,1932
64.346118,White,Female,1933
64.754043,White,Female,1934
65.157496,White,Female,1935
65.5566,White,Female,1936
65.951212,White,Female,1937
66.341322,White,Female,1938
66.726904,White,Female,1939
67.107961,White,Female,1940
67.484353,White,Female,1941
67.856168,White,Female,1942
68.223338,White,Female,1943
68.58589,White,Female,1944
68.943658,White,Female,1945
69.296639,White,Female,1946
69.644963,White,Female,1947
69.988416,White,Female,1948
70.327017,White,Female,1949
70.660743,White,Female,1950
70.98961,White,Female,1951
71.313492,White,Female,1952
71.632439,White,Female,1953
71.946393,White,Female,1954
72.255363,White,Female,1955
72.55921,White,Female,1956
72.857956,White,Female,1957
73.151633,White,Female,1958
73.440124,White,Female,1959
73.723436,White,Female,1960
74.001517,White,Female,1961
74.27438,White,Female,1962
74.54197,White,Female,1963
74.804298,White,Female,1964
75.061114,White,Female,1965
75.312666,White,Female,1966
75.558812,White,Female,1967
75.799576,White,Female,1968
76.034818,White,Female,1969
76.264477,White,Female,1970
76.488745,White,Female,1971
76.707394,White,Female,1972
76.92044,White,Female,1973
77.127852,White,Female,1974
77.329664,White,Female,1975
77.525742,White,Female,1976
77.716095,White,Female,1977
77.900705,White,Female,1978
78.079587,White,Female,1979
78.252573,White,Female,1980
78.419745,White,Female,1981
78.581097,White,Female,1982
78.736487,White,Female,1983
78.885928,White,Female,1984
79.029398,White,Female,1985
79.166868,White,Female,1986
79.298366,White,Female,1987
79.423741,White,Female,1988
79.54308,White,Female,1989
79.65625,White,Female,1990
79.763274,White,Female,1991
79.864138,White,Female,1992
79.95867,White,Female,1993
80.047032,White,Female,1994
80.129174,White,Female,1995
80.204911,White,Female,1996
80.274268,White,Female,1997
80.337329,White,Female,1998
80.394001,White,Female,1999
80.444266,White,Female,2000
80.487941,White,Female,2001
80.52516,White,Female,2002
80.555874,White,Female,2003
80.579987,White,Female,2004
80.597501,White,Female,2005
80.608427,White,Female,2006
80.612657,White,Female,2007
80.610267,White,Female,2008
80.601088,White,Female,2009
80.585194,White,Female,2010
80.56248,White,Female,2011
80.53301,White,Female,2012
80.496676,White,Female,2013
44.803296,White,Male,1900
45.424101,White,Male,1901
46.034033,White,Male,1902
46.633343,White,Male,1903
47.22209,White,Male,1904
47.800415,White,Male,1905
48.368489,White,Male,1906
48.926354,White,Male,1907
49.47425,White,Male,1908
50.012308,White,Male,1909
50.540484,White,Male,1910
51.05904,White,Male,1911
51.568055,White,Male,1912
52.067828,White,Male,1913
52.558221,White,Male,1914
53.039628,White,Male,1915
53.51187,White,Male,1916
53.975362,White,Male,1917
54.430135,White,Male,1918
54.8763,White,Male,1919
55.314023,White,Male,1920
55.743358,White,Male,1921
56.16444,White,Male,1922
56.577558,White,Male,1923
56.982662,White,Male,1924
57.379926,White,Male,1925
57.769552,White,Male,1926
58.151636,White,Male,1927
58.526163,White,Male,1928
58.893551,White,Male,1929
59.253624,White,Male,1930
59.606796,White,Male,1931
59.953033,White,Male,1932
60.292471,White,Male,1933
60.625257,White,Male,1934
60.951488,White,Male,1935
61.271364,White,Male,1936
61.584969,White,Male,1937
61.892541,White,Male,1938
62.194019,White,Male,1939
62.489592,White,Male,1940
62.779565,White,Male,1941
63.063847,White,Male,1942
63.342616,White,Male,1943
63.616189,White,Male,1944
63.88446,White,Male,1945
64.14761,White,Male,1946
64.405861,White,Male,1947
64.659288,White,Male,1948
64.908063,White,Male,1949
65.152232,White,Male,1950
65.391899,White,Male,1951
65.627334,White,Male,1952
65.858647,White,Male,1953
66.085864,White,Male,1954
66.309148,White,Male,1955
66.528746,White,Male,1956
66.74456,White,Male,1957
66.95698,White,Male,1958
67.165935,White,Male,1959
67.371703,White,Male,1960
67.574348,White,Male,1961
67.773953,White,Male,1962
67.970738,White,Male,1963
68.164765,White,Male,1964
68.356182,White,Male,1965
68.545143,White,Male,1966
68.731787,White,Male,1967
68.916179,White,Male,1968
69.098483,White,Male,1969
69.27892,White,Male,1970
69.457498,White,Male,1971
69.634388,White,Male,1972
69.809665,White,Male,1973
69.983651,White,Male,1974
70.15623,White,Male,1975
70.327699,White,Male,1976
70.49807,White,Male,1977
70.667634,White,Male,1978
70.83631,White,Male,1979
71.004541,White,Male,1980
71.172072,White,Male,1981
71.339356,White,Male,1982
71.506276,White,Male,1983
71.67306,White,Male,1984
71.839974,White,Male,1985
72.007064,White,Male,1986
72.174299,White,Male,1987
72.342034,White,Male,1988
72.510192,White,Male,1989
72.67912,White,Male,1990
72.848784,White,Male,1991
73.019521,White,Male,1992
73.191097,White,Male,1993
73.36404,White,Male,1994
73.538318,White,Male,1995
73.713861,White,Male,1996
73.891003,White,Male,1997
74.070012,White,Male,1998
74.250735,White,Male,1999
74.433591,White,Male,2000
74.618445,White,Male,2001
74.80552,White,Male,2002
74.995043,White,Male,2003
75.187035,White,Male,2004
75.381615,White,Male,2005
75.578985,White,Male,2006
75.779135,White,Male,2007
75.982414,White,Male,2008
76.188918,White,Male,2009
76.398592,White,Male,2010
76.611698,White,Male,2011
76.828291,White,Male,2012
77.048645,White,Male,2013
