Average Life Expectancy,Race,Sex,Year
36.4,Black,Female,1902
34.6,Black,Female,1903
32.7,Black,Female,1904
33.1,Black,Female,1905
33.9,Black,Female,1906
34,Black,Female,1907
36,Black,Female,1908
37.3,Black,Female,1909
37.5,Black,Female,1910
38.2,Black,Female,1911
40,Black,Female,1912
40.3,Black,Female,1913
40.8,Black,Female,1914
40.5,Black,Female,1915
43.1,Black,Female,1916
40.8,Black,Female,1917
32.5,Black,Female,1918
44.4,Black,Female,1919
45.2,Black,Female,1920
51.3,Black,Female,1921
53,Black,Female,1922
48.9,Black,Female,1923
47.8,Black,Female,1924
46.7,Black,Female,1925
45.6,Black,Female,1926
48.9,Black,Female,1927
47,Black,Female,1928
47.8,Black,Female,1929
49.2,Black,Female,1930
51.5,Black,Female,1931
54.6,Black,Female,1932
56,Black,Female,1933
53.7,Black,Female,1934
55.2,Black,Female,1935
51.4,Black,Female,1936
52.5,Black,Female,1937
54.3,Black,Female,1938
56,Black,Female,1939
54.9,Black,Female,1940
55.3,Black,Female,1941
58.2,Black,Female,1942
56.1,Black,Female,1943
57.7,Black,Female,1944
59.6,Black,Female,1945
61,Black,Female,1946
61.9,Black,Female,1947
62.5,Black,Female,1948
62.7,Black,Female,1949
62.9,Black,Female,1950
63.4,Black,Female,1951
63.8,Black,Female,1952
64.5,Black,Female,1953
65.9,Black,Female,1954
66.1,Black,Female,1955
66.1,Black,Female,1956
65.5,Black,Female,1957
65.8,Black,Female,1958
66.5,Black,Female,1959
66.3,Black,Female,1960
67.1,Black,Female,1961
66.9,Black,Female,1962
66.6,Black,Female,1963
67.3,Black,Female,1964
67.6,Black,Female,1965
67.6,Black,Female,1966
68.5,Black,Female,1967
67.9,Black,Female,1968
68.6,Black,Female,1969
68.3,Black,Female,1970
68.9,Black,Female,1971
69.1,Black,Female,1972
69.3,Black,Female,1973
70.3,Black,Female,1974
71.3,Black,Female,1975
71.6,Black,Female,1976
72,Black,Female,1977
72.4,Black,Female,1978
72.9,Black,Female,1979
72.5,Black,Female,1980
73.2,Black,Female,1981
73.6,Black,Female,1982
73.5,Black,Female,1983
73.6,Black,Female,1984
73.4,Black,Female,1985
73.4,Black,Female,1986
73.4,Black,Female,1987
73.2,Black,Female,1988
73.3,Black,Female,1989
73.6,Black,Female,1990
73.8,Black,Female,1991
73.9,Black,Female,1992
73.7,Black,Female,1993
73.9,Black,Female,1994
73.9,Black,Female,1995
74.2,Black,Female,1996
74.7,Black,Female,1997
74.8,Black,Female,1998
74.7,Black,Female,1999
75.1,Black,Female,2000
75.3,Black,Female,2001
75.4,Black,Female,2002
75.7,Black,Female,2003
76.1,Black,Female,2004
76.2,Black,Female,2005
