Race,Sex,Year,Average Life Expectancy
All Races,Both Sexes,1900,47.3
All Races,Both Sexes,1901,49.1
All Races,Both Sexes,1902,51.5
All Races,Both Sexes,1903,50.5
All Races,Both Sexes,1904,47.6
All Races,Both Sexes,1905,48.7
All Races,Both Sexes,1906,48.7
All Races,Both Sexes,1907,47.6
All Races,Both Sexes,1908,51.1
All Races,Both Sexes,1909,52.1
All Races,Both Sexes,1910,50
All Races,Both Sexes,1911,52.6
All Races,Both Sexes,1912,53.5
All Races,Both Sexes,1913,52.5
All Races,Both Sexes,1914,54.2
All Races,Both Sexes,1915,54.5
All Races,Both Sexes,1916,51.7
All Races,Both Sexes,1917,50.9
All Races,Both Sexes,1918,39.1
All Races,Both Sexes,1919,54.7
All Races,Both Sexes,1920,54.1
All Races,Both Sexes,1921,60.8
All Races,Both Sexes,1922,59.6
All Races,Both Sexes,1923,57.2
All Races,Both Sexes,1924,59.7
All Races,Both Sexes,1925,59
All Races,Both Sexes,1926,56.7
All Races,Both Sexes,1927,60.4
